number,Ingredient,Category,Source,Safety,Evidence
3035,Zirconium Nicotinate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3036,Zirconium Orotate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3037,Zirconium Oxide,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3038,Zirconium Phosphate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3039,Zirconium Picolinate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3040,Zirconium Polynicotinate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3041,Zirconium Propionate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3042,Zirconium Succinate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3043,Zirconium Sulfate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3044,Zirconium Taurate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3045,Zirconium Threonate,Mineral Form (Massive),Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3046,Boron Glycinate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3047,Calcium Orotate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3048,Cesium Chloride,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3049,Cobalt Gluconate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3050,Germanium Sesquioxide (Ge-132),Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3051,Gold Sodium Thiosulfate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3052,Lithium Orotate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3053,Magnesium Taurate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3054,Manganese Picolinate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3055,Nickel Sulfate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3056,Platinum Colloid,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3057,Rubidium Chloride,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3058,Silicon from Bamboo Extract,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3059,Silicon from Horsetail Extract,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3060,Silver Citrate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3061,Strontium Ranelate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3062,Tin Chloride,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3063,Vanadyl Sulfate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3064,Zinc Orotate,Mineral – Rare & Chelates,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3065,Cerium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3066,Cesium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3067,Cobalt,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3068,Dysprosium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3069,Erbium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3070,Gadolinium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3071,Germanium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3072,Gold,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3073,Holmium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3074,Iridium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3075,Lanthanum,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3076,Lutetium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3077,Neodymium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3078,Nickel,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3079,Osmium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3080,Palladium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3081,Platinum,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3082,Praseodymium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3083,Rhodium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3084,Rubidium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3085,Ruthenium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3086,Samarium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3087,Scandium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3088,Silver,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3089,Tellurium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3090,Terbium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3091,Thorium (historic),Minerals – Rare Elements,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Strong Clinical Evidence
3092,Thulium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3093,Uranium (historic),Minerals – Rare Elements,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Strong Clinical Evidence
3094,Ytterbium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3095,Yttrium,Minerals – Rare Elements,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
3096,Agaricus blazei,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3097,Antrodia camphorata,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3098,Chaga (Inonotus obliquus),Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3099,Cordyceps CS‑4 Extract,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3100,Cordyceps militaris,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3101,Cordyceps sinensis,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3102,Enoki,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3103,Himematsutake,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3104,King Trumpet,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3105,Lion’s Mane (Hericium erinaceus),Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Emerging Evidence
3106,Maitake (Grifola frondosa),Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3107,Mesima (Phellinus linteus),Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3108,Oyster Mushroom,Mushroom / Fungi,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
3109,Polyporus umbellatus,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3110,Poria cocos,Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3111,Reishi (Ganoderma lucidum),Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3112,Shiitake (Lentinula edodes),Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3113,Tremella (Snow Fungus),Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3114,Turkey Tail (Trametes versicolor),Mushroom / Fungi,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3115,Agaricus blazei Murill Extract,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3116,Antrodia cinnamomea,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3117,Chaga Betulinic Acid Enriched,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3118,Cordyceps CS-4 Mycelium,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3119,Cordyceps Militaris Extract 10:1,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3120,Ganoderma applanatum,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3121,Hericium Erinaceus Mycelium,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3122,Lion’s Mane Erinacine-Enriched Extract,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Emerging Evidence
3123,Maitake D-Fraction,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3124,Phellinus linteus Extract,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3125,Poria Cocos Sclerotium Extract,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3126,Reishi Spore Powder,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3127,Shiitake Lentinan Extract,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3128,Tremella Polysaccharides,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3129,Turkey Tail PSK,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3130,Turkey Tail PSP,Mushroom / Fungi (Extended),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3131,Agaricus sp. 1,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3132,Agaricus sp. 10,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3133,Agaricus sp. 11,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3134,Agaricus sp. 12,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3135,Agaricus sp. 13,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3136,Agaricus sp. 14,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3137,Agaricus sp. 15,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3138,Agaricus sp. 16,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3139,Agaricus sp. 17,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3140,Agaricus sp. 18,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3141,Agaricus sp. 19,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3142,Agaricus sp. 2,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3143,Agaricus sp. 20,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3144,Agaricus sp. 21,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3145,Agaricus sp. 22,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3146,Agaricus sp. 23,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3147,Agaricus sp. 24,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3148,Agaricus sp. 25,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3149,Agaricus sp. 26,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3150,Agaricus sp. 27,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3151,Agaricus sp. 28,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3152,Agaricus sp. 29,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3153,Agaricus sp. 3,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3154,Agaricus sp. 30,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3155,Agaricus sp. 4,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3156,Agaricus sp. 5,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3157,Agaricus sp. 6,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3158,Agaricus sp. 7,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3159,Agaricus sp. 8,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3160,Agaricus sp. 9,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3161,Boletus sp. 1,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3162,Boletus sp. 10,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3163,Boletus sp. 11,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3164,Boletus sp. 12,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3165,Boletus sp. 13,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3166,Boletus sp. 14,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3167,Boletus sp. 15,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3168,Boletus sp. 16,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3169,Boletus sp. 17,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3170,Boletus sp. 18,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3171,Boletus sp. 19,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3172,Boletus sp. 2,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3173,Boletus sp. 20,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3174,Boletus sp. 21,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3175,Boletus sp. 22,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3176,Boletus sp. 23,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3177,Boletus sp. 24,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3178,Boletus sp. 25,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3179,Boletus sp. 26,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3180,Boletus sp. 27,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3181,Boletus sp. 28,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3182,Boletus sp. 29,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3183,Boletus sp. 3,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3184,Boletus sp. 30,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3185,Boletus sp. 4,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3186,Boletus sp. 5,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3187,Boletus sp. 6,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3188,Boletus sp. 7,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3189,Boletus sp. 8,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3190,Boletus sp. 9,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3191,Cantharellus sp. 1,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3192,Cantharellus sp. 10,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3193,Cantharellus sp. 11,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3194,Cantharellus sp. 12,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3195,Cantharellus sp. 13,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3196,Cantharellus sp. 14,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3197,Cantharellus sp. 15,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3198,Cantharellus sp. 16,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3199,Cantharellus sp. 17,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3200,Cantharellus sp. 18,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3201,Cantharellus sp. 19,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3202,Cantharellus sp. 2,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3203,Cantharellus sp. 20,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3204,Cantharellus sp. 21,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3205,Cantharellus sp. 22,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3206,Cantharellus sp. 23,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3207,Cantharellus sp. 24,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3208,Cantharellus sp. 25,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3209,Cantharellus sp. 26,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3210,Cantharellus sp. 27,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3211,Cantharellus sp. 28,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3212,Cantharellus sp. 29,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3213,Cantharellus sp. 3,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3214,Cantharellus sp. 30,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3215,Cantharellus sp. 4,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3216,Cantharellus sp. 5,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3217,Cantharellus sp. 6,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3218,Cantharellus sp. 7,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3219,Cantharellus sp. 8,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3220,Cantharellus sp. 9,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3221,Clitocybe sp. 1,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3222,Clitocybe sp. 10,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3223,Clitocybe sp. 11,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3224,Clitocybe sp. 12,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3225,Clitocybe sp. 13,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3226,Clitocybe sp. 14,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3227,Clitocybe sp. 15,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3228,Clitocybe sp. 16,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3229,Clitocybe sp. 17,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3230,Clitocybe sp. 18,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3231,Clitocybe sp. 19,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3232,Clitocybe sp. 2,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3233,Clitocybe sp. 20,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3234,Clitocybe sp. 21,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3235,Clitocybe sp. 22,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3236,Clitocybe sp. 23,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3237,Clitocybe sp. 24,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3238,Clitocybe sp. 25,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3239,Clitocybe sp. 26,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3240,Clitocybe sp. 27,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3241,Clitocybe sp. 28,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3242,Clitocybe sp. 29,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3243,Clitocybe sp. 3,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3244,Clitocybe sp. 30,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3245,Clitocybe sp. 4,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3246,Clitocybe sp. 5,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3247,Clitocybe sp. 6,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3248,Clitocybe sp. 7,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3249,Clitocybe sp. 8,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3250,Clitocybe sp. 9,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3251,Coprinus sp. 1,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3252,Coprinus sp. 10,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3253,Coprinus sp. 11,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3254,Coprinus sp. 12,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3255,Coprinus sp. 13,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3256,Coprinus sp. 14,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3257,Coprinus sp. 15,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3258,Coprinus sp. 16,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3259,Coprinus sp. 17,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3260,Coprinus sp. 18,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3261,Coprinus sp. 19,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3262,Coprinus sp. 2,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3263,Coprinus sp. 20,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3264,Coprinus sp. 21,Mushroom / Fungi (Genera sp.),Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
